00001  0000000000  0000000000  00000  0000000000  0000000000  01400  01400  03000  03000  0000  0010 00000 00000 0000 0327 00 I5 0650  1023  0637  0604  0602  0600  0096  00000  00000  0096  00000  00000     888 00000  00     9999 00000  00000  00  01 
00002  0000000000  0000000000  00000  0000000000  0000000000  01600  01600  03000  03000  0000  0010 00000 00000 0000 0327 00 I5 0650  1023  0636  0604  0602  0600  0096  00000  00000  0096  00000  00000     888 00000  00     9999 00000  00000  00  01 
00003  0000003026  0000000000  00000  0000000654  0000000000  01800  01800  03000  03000  0000  0010 00000 00000 0000 0327 00 I5 0650  1023  0636  0604  0602  0600  0096  00000  00000  0096  00000  00000     888 00000  00     9999 00000  00000  00  01 
00004  0000009297  0000002358  00000  0000005345  0000000000  01974  02000  03000  03000  0000  0010 00000 00000 0000 0327 00 I5 0650  1023  0636  0604  0601  0600  0096  00000  00000  0096  00000  00000     888 00000  00     9999 00000  00000  00  01 
00005  0000010352  0000008346  00001  0000009081  0000004747  01963  02095  03000  03000  0000  0010 00000 00000 0000 0327 00 I5 0650  1023  0635  0604  0602  0600  0096  00000  00000  0096  00000  00000     888 00000  00     9999 00000  00000  00  01 
00006  0000010371  0000008280  00000  0000009312  0000007557  01963  02095  03000  03000  0000  0010 00000 00000 0000 0327 00 I5 0650  1023  0635  0604  0601  0600  0096  00000  00000  0096  00000  00000     888 00000  00     9999 00000  00000  00  01 
00007  0000010474  0000008479  00002  0000009143  0000007416  01963  02095  03000  03000  0000  0010 00000 00000 0000 0327 00 I5 0650  1023  0634  0604  0602  0600  0096  00000  00000  0096  00000  00000     888 00000  00     9999 00000  00000  00  02 
00008  0000010325  0000008322  00000  0000009270  0000007517  01961  02093  03000  03000  0000  0010 00000 00000 0000 0327 00 I5 0650  1023  0633  0604  0602  0600  0096  00000  00000  0096  00000  00000     888 00000  00     9999 00000  00000  00  02 
00009  0000010420  0000008407  00001  0000009263  0000007450  01961  02091  03000  03000  0000  0010 00000 00000 0000 0327 00 I5 0650  1023  0633  0605  0602  0600  0096  00000  00000  0096  00000  00000     888 00000  00     9999 00000  00000  00  02 
00010  0000010367  0000008356  00002  0000009120  0000007323  01961  02091  03000  03000  0000  0010 00000 00000 0000 0327 00 I5 0650  1023  0633  0604  0601  0600  0096  00000  00000  0096  00000  00000     888 00000  00     9999 00000  00000  00  02 
